Sc_Agreeableness,Sc_Conscientiousness,Sc_Extraversion,Sc_Narcissism,Sc_Neuroticism,Sc_Openness,Sc_SensationSeeking,Student_ID,Gender,Fakultas,Program_Studi,Angkatan,Klaster,Profile_Name,Kategori_Risiko
58.8,67.8,62.2,47.6,35.5,38.6,44.1,ST0001,Laki-laki,FKS,Ilmu Komunikasi,2023,1,The Resilient & Adaptive,Baseline / Normatif
30.5,34.1,25.8,60.5,71.7,49.8,48.1,ST0002,Perempuan,FEB,Akuntansi,2021,2,The Vulnerable / At-Risk,Kelompok Risiko Tinggi
49.4,37.5,73.4,56.2,53.7,44.4,73.2,ST0004,Perempuan,FRI,Sistem Informasi,2024,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
74.5,50.2,50.7,51.4,33.6,66.2,44.8,ST0005,Perempuan,FRI,Teknik Industri,2024,1,The Resilient & Adaptive,Baseline / Normatif
59.5,34.0,72.8,59.3,55.0,51.2,56.6,ST0006,Laki-laki,FKS,Ilmu Komunikasi,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
54.5,75.4,60.4,51.0,35.1,61.2,47.5,ST0007,Perempuan,FTE,Teknik Telekomunikasi,2021,1,The Resilient & Adaptive,Baseline / Normatif
81.7,57.4,51.0,42.0,38.2,57.3,51.5,ST0008,Perempuan,FTE,Teknik Telekomunikasi,2024,1,The Resilient & Adaptive,Baseline / Normatif
48.6,37.6,71.2,68.5,43.1,52.9,76.6,ST0009,Laki-laki,FKS,Administrasi Bisnis,2023,0,The Energetic & Socially Active,Intervensi Pengembangan Diri
47.6,76.8,52.9,52.4,29.8,55.5,41.9,ST0010,Laki-laki,FRI,Teknik Industri,2024,1,The Resilient & Adaptive,Baseline / Normatif
54.2,71.6,48.6,72.3,32.4,49.5,33.1,ST0011,Laki-laki,FRI,Teknik Industri,2021,1,The Resilient & Adaptive,Baseline / Normatif
52.7,65.8,38.7,60.4,31.6,61.9,36.3,ST0013,Laki-laki,FKS,Administrasi Bisnis,2021,1,The Resilient & Adaptive,Baseline / Normatif
76.6,47.3,49.4,35.7,42.3,48.3,55.4,ST0014,Laki-laki,FEB,Manajemen,2022,1,The Resilient & Adaptive,Baseline / Normatif
70.7,46.7,57.9,57.7,29.0,59.7,46.6,ST0015,Laki-laki,FRI,Teknik Logistik,2023,1,The Resilient & Adaptive,Baseline / Normatif
